OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OccHU_e19,OccHU_m19,VehicAvail0_e19,VehicAvail0_m19,pVehicAvail0_e19,pVehicAvail0_m19,VehicAvail1_e19,VehicAvail1_m19,pVehicAvail1_e19,pVehicAvail1_m19,VehicAvail2_e19,VehicAvail2_m19,pVehicAvail2_e19,pVehicAvail2_m19,VehicAvail3P_e19,VehicAvail3P_m19,pVehicAvail3P_e19,pVehicAvail3P_m19,SHAPE_Length,SHAPE_Area
432,MG / NE,No,30625,3476,ZCTA,ZCTA5 30625,929,132,69,63,7.4,6.7,116,48,12.5,4.9,423,144,45.5,14,321,87,34.6,8,0.679886076382072,0.0122397031961416
433,Northeast Georgia,No,30627,3477,ZCTA,ZCTA5 30627,973,145,36,31,3.7,3.1,313,94,32.2,8.4,314,98,32.3,8.9,310,90,31.9,7.9,1.52436225728465,0.0317509967431684
434,Northeast Georgia,No,30628,3478,ZCTA,ZCTA5 30628,2399,255,85,72,3.5,3,436,154,18.2,6.1,1039,198,43.3,6.8,839,187,35,6.8,0.856505112247839,0.0122951656294591
435,Northeast Georgia,No,30629,3479,ZCTA,ZCTA5 30629,1820,188,73,42,4,2.3,444,129,24.4,6.6,693,143,38.1,6.8,610,145,33.5,7.2,0.995390239072533,0.019171372843337
436,Coastal Regional Commission,No,31313,3669,ZCTA,ZCTA5 31313,16031,450,908,238,5.7,1.5,6085,611,38,3.7,6070,538,37.9,3.2,2968,358,18.5,2.2,0.931559300373954,0.0166174746034983
437,Northeast Georgia,No,30630,3480,ZCTA,ZCTA5 30630,953,153,129,59,13.5,5.8,332,132,34.8,12.7,265,82,27.8,7.4,227,73,23.8,6.6,0.629669697374125,0.00926642199133549
438,Central Savannah River Area,No,30631,3481,ZCTA,ZCTA5 30631,584,64,86,30,14.7,4.8,198,48,33.9,7.4,129,31,22.1,4.8,171,48,29.3,7.6,1.53796258265174,0.0488925756028753
439,GM / NE,No,30633,3482,ZCTA,ZCTA5 30633,3145,216,39,25,1.2,0.8,738,174,23.5,5.3,1116,191,35.5,5.6,1252,216,39.8,6.3,1.12049127389966,0.0255262879005395
440,GM / NE,No,30634,3483,ZCTA,ZCTA5 30634,771,159,73,63,9.5,8,108,62,14,7.4,307,95,39.8,9.2,283,125,36.7,14.3,1.06321044269714,0.0122817803520521
441,GM / NE,No,30635,3484,ZCTA,ZCTA5 30635,6054,258,576,133,9.5,2.2,2047,311,33.8,4.9,1728,255,28.5,4,1703,245,28.1,3.9,1.84027908312913,0.0775488466732948
442,Central Savannah River Area,No,30807,3541,ZCTA,ZCTA5 30807,38,22,6,16,15.8,42.2,11,9,28.9,17.5,13,14,34.2,31.5,8,28,21.1,73,0.0829919038259558,0.000155503787029499
443,Northeast Georgia,Partial,30641,3485,ZCTA,ZCTA5 30641,812,159,21,28,2.6,3.4,226,101,27.8,11.2,312,95,38.4,8.9,253,96,31.2,10.1,0.522290211804482,0.0086658061643413
444,Central Savannah River Area,No,30808,3542,ZCTA,ZCTA5 30808,1473,182,25,33,1.7,2.2,279,107,18.9,6.9,584,169,39.6,10.4,585,159,39.7,9.6,0.688034704699797,0.0162032002635754
445,Northeast Georgia,No,30642,3486,ZCTA,ZCTA5 30642,5228,238,370,124,7.1,2.4,1644,248,31.4,4.5,2061,218,39.4,3.8,1153,204,22.1,3.8,1.77420501373872,0.0530579575527761
446,Central Savannah River Area,No,30809,3543,ZCTA,ZCTA5 30809,14686,585,438,149,3,1,2711,416,18.5,2.7,6822,513,46.5,3,4715,479,32.1,3,0.604694978152921,0.0112444119280566
447,Georgia Mountains,No,30643,3487,ZCTA,ZCTA5 30643,5810,266,345,144,5.9,2.5,1711,355,29.4,6,2104,310,36.2,5.1,1650,284,28.4,4.7,1.17382435527091,0.0347879692203995
448,Central Savannah River Area,No,30810,3544,ZCTA,ZCTA5 30810,746,90,59,29,7.9,3.8,168,44,22.5,5.2,232,70,31.1,8.5,287,73,38.5,8.6,1.09774119642736,0.0206937753439633
449,Northeast Georgia,No,30646,3488,ZCTA,ZCTA5 30646,2777,308,110,97,4,3.5,819,247,29.5,8.3,1199,266,43.2,8.3,649,186,23.4,6.2,0.781381108873822,0.00894858149852686
450,Central Savannah River Area,No,30812,3545,ZCTA,ZCTA5 30812,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.0275971352793022,3.33795295464555e-05
451,Northeast Georgia,No,30648,3489,ZCTA,ZCTA5 30648,1151,153,30,30,2.6,2.6,264,128,22.9,10.7,516,140,44.8,10.6,341,96,29.6,7.4,1.14729489004602,0.0214024204403118
